,City,State,Month,Median Sale Price,Median Sale Price MoM,Homes Sold,Inventory,Inventory MoM,Days on Market,Days on Market MoM,Average Sale To List
0,Austin,Texas,Feb-12,190.0,5.6,1403,6941,1.2,74,0,96.7
1,Austin,Texas,Mar-12,200.0,5.1,2076,7394,6.5,58,-16,97.3
2,Austin,Texas,Apr-12,205.0,2.7,2120,7698,4.1,39,-19,97.7
3,Austin,Texas,May-12,210.0,2.4,2584,7908,2.7,36,-3,97.6
4,Austin,Texas,Jun-12,214.0,2.0,2842,8152,3.1,31,-5,97.8
5,Austin,Texas,Jul-12,210.0,-1.9,2586,8068,-1.0,34,3,97.8
6,Austin,Texas,Aug-12,209.0,-0.5,2585,7669,-4.9,38,4,97.6
7,Austin,Texas,Sep-12,197.0,-6.0,1991,7250,-5.5,43,5,97.4
8,Austin,Texas,Oct-12,199.0,1.4,2157,6773,-6.6,50,7,97.2
9,Austin,Texas,Nov-12,199.0,0.0,1812,6236,-7.9,48,-2,97.3
10,Austin,Texas,Dec-12,209.0,4.7,2001,5428,-13.0,49,1,97.2
11,Austin,Texas,Jan-13,198.0,-5.2,1543,5115,-5.8,49,0,97.2
12,Austin,Texas,Feb-13,207.0,4.6,1782,5162,0.9,51,2,97.7
13,Austin,Texas,Mar-13,217.0,4.8,2354,5432,5.2,29,-22,98.1
14,Austin,Texas,Apr-13,225.0,3.7,2658,5673,4.4,19,-10,98.6
15,Austin,Texas,May-13,228.0,1.3,3172,6038,6.4,19,0,98.9
16,Austin,Texas,Jun-13,230.0,0.9,2934,6381,5.7,17,-2,98.8
17,Austin,Texas,Jul-13,225.0,-2.3,3326,6485,1.6,19,2,98.7
18,Austin,Texas,Aug-13,220.0,-2.3,3256,6478,-0.1,22,3,98.5
19,Austin,Texas,Sep-13,220.0,0.1,2541,6238,-3.7,25,3,98.2
20,Austin,Texas,Oct-13,217.0,-1.4,2324,5933,-4.9,29,4,98.1
21,Austin,Texas,Nov-13,218.0,0.5,2031,5378,-9.4,35,6,97.9
22,Austin,Texas,Dec-13,226.0,3.7,2177,4700,-12.6,36,1,97.9
23,Austin,Texas,Jan-14,218.0,-3.5,1530,4585,-2.4,42,6,97.8
24,Austin,Texas,Feb-14,229.0,4.9,1879,4701,2.5,33,-9,98.1
25,Austin,Texas,Mar-14,234.0,2.3,2358,4914,4.5,20,-13,98.5
26,Austin,Texas,Apr-14,237.0,1.1,2630,5121,4.2,15,-5,99.1
27,Austin,Texas,May-14,245.0,3.6,3143,5593,9.2,14,-1,99.2
28,Austin,Texas,Jun-14,251.0,2.3,3131,6188,10.6,13,-1,99.1
29,Austin,Texas,Jul-14,249.0,-0.7,3086,7091,14.6,14,1,99.0
30,Austin,Texas,Aug-14,245.0,-1.6,2928,7164,1.0,18,4,98.5
