City,State,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
Austin,Texas,2/1/2012,190,5.60%,2.20%,1403,18.60%,16.60%,2569,18.40%,10.40%,6941,1.20%,-21.50%,74,0,-18,96.70%,0.40%,0.10%
Austin,Texas,3/1/2012,200,5.10%,8.70%,2076,48.00%,18.60%,3400,32.30%,-3.00%,7394,6.50%,-23.10%,58,-16,-26,97.30%,0.60%,0.90%
Austin,Texas,4/1/2012,205,2.70%,7.90%,2120,2.10%,14.80%,3379,-0.60%,1.40%,7698,4.10%,-24.00%,39,-19,-21,97.70%,0.40%,1.00%
Austin,Texas,5/1/2012,210,2.40%,9.10%,2584,21.90%,25.10%,3493,3.40%,11.80%,7908,2.70%,-22.50%,36,-3,-18,97.60%,0.00%,1.00%
Austin,Texas,6/1/2012,214,2.00%,8.70%,2842,10.00%,21.00%,3396,-2.80%,8.80%,8152,3.10%,-20.30%,31,-5,-21,97.80%,0.20%,1.10%
Austin,Texas,7/1/2012,210,-1.90%,10.20%,2586,-9.00%,20.30%,2939,-13.50%,7.20%,8068,-1.00%,-18.70%,34,3,-21,97.80%,-0.10%,0.90%
Austin,Texas,8/1/2012,209,-0.50%,8.60%,2585,0.00%,17.50%,2709,-7.80%,15.80%,7669,-4.90%,-17.60%,38,4,-23,97.60%,-0.10%,1.00%
Austin,Texas,9/1/2012,197,-6.00%,5.10%,1991,-23.00%,10.90%,2107,-22.20%,1.50%,7250,-5.50%,-16.50%,43,5,-20,97.40%,-0.20%,0.90%
Austin,Texas,10/1/2012,199,1.40%,5.40%,2157,8.30%,38.70%,2234,6.00%,6.90%,6773,-6.60%,-18.30%,50,7,-16,97.20%,-0.20%,0.50%
Austin,Texas,11/1/2012,199,0.00%,7.70%,1812,-16.00%,23.60%,1933,-13.50%,10.40%,6236,-7.90%,-18.60%,48,-2,-22,97.30%,0.10%,0.60%
