City,State,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
Austin,Texas,Feb-12,$190K,5.60%,2.20%,"1,403",18.60%,16.60%,"2,569",18.40%,10.40%,"6,941",1.20%,-21.50%,74,0,-18,96.70%,0.40%,0.10%
Austin,Texas,Mar-12,$200K,5.10%,8.70%,"2,076",48.00%,18.60%,"3,400",32.30%,-3.00%,"7,394",6.50%,-23.10%,58,-16,-26,97.30%,0.60%,0.90%
Austin,Texas,Apr-12,$205K,2.70%,7.90%,"2,120",2.10%,14.80%,"3,379",-0.60%,1.40%,"7,698",4.10%,-24.00%,39,-19,-21,97.70%,0.40%,1.00%
Austin,Texas,May-12,$210K,2.40%,9.10%,"2,584",21.90%,25.10%,"3,493",3.40%,11.80%,"7,908",2.70%,-22.50%,36,-3,-18,97.60%,0.00%,1.00%
Austin,Texas,Jun-12,$214K,2.00%,8.70%,"2,842",10.00%,21.00%,"3,396",-2.80%,8.80%,"8,152",3.10%,-20.30%,31,-5,-21,97.80%,0.20%,1.10%
Austin,Texas,Jul-12,$210K,-1.90%,10.20%,"2,586",-9.00%,20.30%,"2,939",-13.50%,7.20%,"8,068",-1.00%,-18.70%,34,3,-21,97.80%,-0.10%,0.90%
Austin,Texas,Aug-12,$209K,-0.50%,8.60%,"2,585",0.00%,17.50%,"2,709",-7.80%,15.80%,"7,669",-4.90%,-17.60%,38,4,-23,97.60%,-0.10%,1.00%
Austin,Texas,Sep-12,$197K,-6.00%,5.10%,"1,991",-23.00%,10.90%,"2,107",-22.20%,1.50%,"7,250",-5.50%,-16.50%,43,5,-20,97.40%,-0.20%,0.90%
Austin,Texas,Oct-12,$199K,1.40%,5.40%,"2,157",8.30%,38.70%,"2,234",6.00%,6.90%,"6,773",-6.60%,-18.30%,50,7,-16,97.20%,-0.20%,0.50%
Austin,Texas,Nov-12,$199K,0.00%,7.70%,"1,812",-16.00%,23.60%,"1,933",-13.50%,10.40%,"6,236",-7.90%,-18.60%,48,-2,-22,97.30%,0.10%,0.60%
Austin,Texas,Dec-12,$209K,4.70%,9.90%,"2,001",10.40%,19.10%,"1,317",-31.90%,-1.40%,"5,428",-13.00%,-21.50%,49,1,-28,97.20%,-0.10%,0.80%
Austin,Texas,Jan-13,$198K,-5.20%,10.00%,"1,543",-22.90%,30.40%,"2,236",69.80%,3.10%,"5,115",-5.80%,-25.40%,49,0,-25,97.20%,0.00%,0.90%
